ticker,base,quote,exchange,price,ask,bid,spread,volume
sxpup-usd,sxpup,usd,binance,1.25,1.251,1.249,0.0019999999999997797,1824010.76
sxpdown-usd,sxpdown,usd,binance,0.163,0.163,0.162,0.0010000000000000009,9859484.82
fil-BTC,fil,BTC,binance,0.0012084,0.0012084,0.0012076,8.000000000000194e-07,78851.16
fil-usd,fil,usd,binance,28.2183,28.2173,28.215,0.002300000000001745,498906.37
filup-usd,filup,usd,binance,11.602,11.698,11.587,0.11100000000000065,59095.6
fildown-usd,fildown,usd,binance,1.674,1.677,1.67,0.007000000000000117,32601.83
yfiup-usd,yfiup,usd,binance,26.802,26.998,26.817,0.18100000000000094,84357.29
yfidown-usd,yfidown,usd,binance,0.319,0.319,0.318,0.0010000000000000009,7994470.43
inj-BTC,inj,BTC,binance,0.0001312,0.00013135,0.00013092,4.299999999999942e-07,716931.3
inj-usd,inj,usd,binance,3.071,3.0726,3.0632,0.009399999999999853,2010793.73
aergo-BTC,aergo,BTC,binance,2.16e-06,2.16e-06,2.15e-06,9.999999999999904e-09,8664679.0
easy-eth,easy,eth,binance,0.009237,0.009259,0.009238,2.1000000000000185e-05,86085.71
audio-BTC,audio,BTC,binance,8.52e-06,8.51e-06,8.46e-06,4.999999999999952e-08,3553091.0
audio-usd,audio,usd,binance,0.19801,0.19864,0.19801,0.0006300000000000194,7887177.0
ctk-BTC,ctk,BTC,binance,4.35e-05,4.353e-05,4.344e-05,9.000000000000083e-08,769754.6
ctk-usd,ctk,usd,binance,1.0152,1.0163,1.0141,0.0021999999999999797,11537149.61
bchup-usd,bchup,usd,binance,9.194,0.0,0.0,0.0,10706.27
bchdown-usd,bchdown,usd,binance,7.819,0.0,0.0,0.0,10902.0
bot-BTC,bot,BTC,binance,0.01882,0.01888,0.01886,2.0000000000002655e-05,3033.7689
akro-BTC,akro,BTC,binance,4.8e-07,4.9e-07,4.8e-07,1.000000000000001e-08,33258183.0
akro-usd,akro,usd,binance,0.011248,0.011264,0.011248,1.600000000000039e-05,46788123.0
axs-BTC,axs,BTC,binance,3.149e-05,3.149e-05,3.138e-05,1.0999999999999725e-07,1823241.0
axs-usd,axs,usd,binance,0.73577,0.73577,0.73456,0.0012100000000000444,7168616.7
hard-BTC,hard,BTC,binance,3.663e-05,3.667e-05,3.663e-05,3.999999999999962e-08,3507825.7
hard-usd,hard,usd,binance,0.8566,0.8567,0.8551,0.0016000000000000458,7868958.93
